review_text,rating,review_date
"banyak promonya, ya meskipun harus sepenuh tenaga mengumpulkan koin",5,2025-11-27 18:20:01
"bagus aplikasi Shopee, bnyak gratis ongkir jugaa.. tp sayang nya segala ada biaya penanganan,, buat sy itu mengganggu..",5,2025-11-27 18:19:24
saya sangat puas,5,2025-11-27 18:18:09
sangat membantu,5,2025-11-27 18:18:04
sangat puas sekali dengan apk ini,5,2025-11-27 18:17:46
bagus,5,2025-11-27 18:16:55
sangat memuaskan belanja di shopee,5,2025-11-27 18:16:34
selalu terbantu oleh shopiee,5,2025-11-27 18:15:54
cepat,5,2025-11-27 18:15:22
pokoknya sukakkk..belanja bisa lebih mudah,5,2025-11-27 18:15:03
apk paling recomen dah,5,2025-11-27 18:14:35
pengiriman cepat dan produk terpercaya_,5,2025-11-27 18:14:23
mantassp,4,2025-11-27 18:14:22
belanja dengan mudah dan terjangkau hanya di shopee 😍😍😍,5,2025-11-27 18:14:08
aplikasi shoope sngat membantu sy dlm berbelanja dirumh pelayanan kurirnya bagus,5,2025-11-27 18:13:33
bagus dan simple,5,2025-11-27 18:09:06
Terimakasih shopee sudha tidak bisa berkata apa-apa lagi buat aplikasi satu ini 😘😘😘😘😘,5,2025-11-27 18:08:32
Feeling good,5,2025-11-27 18:08:24
mantab..,5,2025-11-27 18:08:14
sangat bagus,5,2025-11-27 18:07:18
mantap sekali,5,2025-11-27 18:06:05
"Sudah ikut extra ongkir , Potongan admin besar tp perlakuan barang gagal kirim dinyatakan sepihak hilang padahal barang besar logika manusia tidak akan mungkin hilang. yg lebih mengecewakan pergantian klaim tidak sesuai dengan nominal brang yg hilang... tidak profesional amanah menjaga barang customer",1,2025-11-27 18:05:56
👍👍,5,2025-11-27 18:05:53
aplikasi yang memuaskan untuk belanja,5,2025-11-27 18:05:49
hare Krsna mantaf,5,2025-11-27 18:05:19
ok,5,2025-11-27 18:04:45
shopee keren abis,5,2025-11-27 18:04:40
jos mantap pelayanan nya,5,2025-11-27 18:04:34
baru pertama pakai lumayan tp gak ada cod y,5,2025-11-27 18:03:10
sukses selalu,5,2025-11-27 18:03:01
bagus,5,2025-11-27 18:01:05
"pokonya belanja di shoppi mah ga pernah kecewa ,selalu dpet vocer dan grtis ongkir",5,2025-11-27 18:00:34
ga jelas,1,2025-11-27 18:00:05
Mantap pelayanan nya,5,2025-11-27 17:59:56
ok,4,2025-11-27 17:58:56
aplikasi nya bagus terus harganya terjangkau dan juga pengiriman nya cepet tapi masalahnya tuh kalo mau checkout itu gak bisa cod (bayar ditempat) karna banyak pesanan yang dibatalin sama shopee ini aduh,4,2025-11-27 17:57:44
mantap,5,2025-11-27 17:57:32
suka,5,2025-11-27 17:57:28
ger cep,5,2025-11-27 17:57:22
"Sebenernya aku ngga ada masalah sama sekali dengan penggunaan aplikasinya, aplikasinya mudah digunakan. Tetapi, aplikasi ini kalau sedang ngiklan mengganggu sekali, selalu saja membuka aplikasi dengan sendirinya, ngga cuma sekali dalam satu waktu, tapi berkali-kali dalam satu waktu. Tolong beriklanlah dengan normal, jangan melakukan adware, jangan memaksa, tidak etis kepada pengguna. Terima kasih.",5,2025-11-27 17:56:53
mudah cari barang 🤌,5,2025-11-27 17:56:48
mantaap oelayanannya,5,2025-11-27 17:53:44
sangat puas dengan shopee karna sering mendapat gratis ongkir dan produk yang di jual sangat bagus dan berkualitas,5,2025-11-27 17:53:00
tepat waktu,5,2025-11-27 17:52:19
sangat puas belanja d shopee pertahankan dengan respon yang selalu cepat👍,5,2025-11-27 17:51:06
"kurang nyaman masih banyak tipu2 sumpah, kita komen dan dijjawsb dgn jawaban angin surga",2,2025-11-27 17:51:01
ok,5,2025-11-27 17:50:10
puas gaes,5,2025-11-27 17:49:04
Toko online yang bagus di indonesia,4,2025-11-27 17:48:33
"kak kenapa sekarang jadi lama banget pesan paketnya, udah hampir 2 minggu pesanan saya belum dikirim",3,2025-11-27 17:48:23
semoga tidak seperti pasar sebelah yg hijau mudah di susupi akun fishing,5,2025-11-27 17:48:16
ok,5,2025-11-27 17:48:12
amanah bagus sesuai,5,2025-11-27 17:47:05
komisi gak work,1,2025-11-27 17:46:07
Aplikasi yang memudahkan segala kebutuhan rumah tangga dan keluarga 🫰,5,2025-11-27 17:44:47
no coment seru sihh pokoknya bisa belanja,5,2025-11-27 17:43:14
memudahkan membeli apapun ada di app shopee,5,2025-11-27 17:41:19
Selama ini tdk ada masalah bagi sy,5,2025-11-27 17:41:14
pesanan ok,5,2025-11-27 17:41:01
amanah,5,2025-11-27 17:40:38
sangat membantu untuk kebutuhan yang saya perlukan. terimakasih Shopee,4,2025-11-27 17:40:04
sangat memuaskan,5,2025-11-27 17:39:26
"aku blm ada pengalaman dikit pun tentang ,Shopee indonesia",5,2025-11-27 17:39:12
sangat bagus,5,2025-11-27 17:38:36
saya sering blaja di shopee brng real,5,2025-11-27 17:38:13
sangat senang berbelanja di sini,5,2025-11-27 17:37:31
sangat bangus,5,2025-11-27 17:37:19
shopee memangTOP👍👍,5,2025-11-27 17:36:58
👍,5,2025-11-27 17:36:56
mantap,5,2025-11-27 17:36:47
"shoope nya ga bisa COD CEK DULU , gimana cara nya agar bisa COD",2,2025-11-27 17:36:23
sunggu nyaman,5,2025-11-27 17:36:02
"selama saya menggunakan Shopee untuk pemesanan barang barang yang saya perlukan ,selalu memuaskan baik produknya maupun pengirimannya.",5,2025-11-27 17:34:51
Banyak voucher dan gratis ongkir... Puas belanja di shopee...,5,2025-11-27 17:34:48
mantap,5,2025-11-27 17:34:45
"Mantap, 👍 terpercaya.",5,2025-11-27 17:33:56
sangat bagus,5,2025-11-27 17:33:23
"shopee parah sekarang. merugikan pembeli. saya beli barang tidak bisa di gunakan, mau di retur tidak bisa. shopee membuat keputusan sendiri, dan buat pesanan slesai. tanpa saya setujui. sehingga barang tdk bs digunakan dan buang2 uang.",1,2025-11-27 17:33:14
"1. costumer shopee food seharusnya ada opsi cancel 5 menit, JGN 5 DETIK BOSSS, namanya manusia PASTI ada salah nya, lagian 5 menit jg makanan masi di siapin, 2. untuk diskon / gratis ongkir seharusnya otomatis terinput waktu CO seperti gojek, jgn nunggu di klik dulu, jadi tidak merugikan customer yg lupa klik",2,2025-11-27 17:33:09
"suka banget ama ini shopee, karena aku suka belanja 🫶",5,2025-11-27 17:32:43
"Tarik shopee koin vidio jgn 5000 dong min, 500 aja. Ngumpulin 200 koin video aja lama bgt",5,2025-11-27 17:32:35
ok,5,2025-11-27 17:32:33
sangat puas,4,2025-11-27 17:31:46
sangat puas,5,2025-11-27 17:31:35
"lebih cepat,terpercaya",5,2025-11-27 17:31:29
joss berkembang lebih bagus lagi,5,2025-11-27 17:30:11
Dengan adanya shopee food beli makan jadi enak,5,2025-11-27 17:29:04
berbelanja di sopy menyenangkan paket cepat sampai pengngiriman cepet dan kurir rama dan baik³,5,2025-11-27 17:29:01
suka sekali,5,2025-11-27 17:27:56
Nice application & good job. Continue to improve the quality of the application. 👌👍,5,2025-11-27 17:27:48
bagus..sangat baik sekali,5,2025-11-27 17:26:54
bagus,5,2025-11-27 17:26:11
"kenapa ya akhir"" ini pengiriman Shopee makin melambat dari tanggal yg dijadwalkan?",2,2025-11-27 17:25:00
kebanyakan penipu,1,2025-11-27 17:24:18
"produknya sesuai, pokoknya mantaf",5,2025-11-27 17:22:11
bagus,5,2025-11-27 17:22:04
good,5,2025-11-27 17:21:29
minta tolong dong.. ink ga sekali dua kali. kita order shopee food. knp 1 driver di kasih 2 oraderan bersamaan. di saat barang saya sudah siap. malah belum terkirim di karenakan driver ambil orderan selanjutnya. kayak gini kalau di terusin itu ngerugikan pelanggan. shoppe dapat uang dari pelanggan. jadi jangan buat pelanggan kecewa dong. nah shoppe ga mikirin ya misal ada pesenan yang gk bisa nunggu kayak tart.. kan kalau sampai barang rusak yang kasian juga resto.. astaga.. kecewa sekali ini.,2,2025-11-27 17:21:23
"parah sangat shope skrg, saya sudah pesan beberapa paket tapi belum ada konfirmasi dari kurirnya paket saya tiba2 di gagalkan, saya sangat kecewa sama SPX,saya di bolaang maongondow,sulawesi utara, kok bisa ya kurir dari spx bgitu",1,2025-11-27 17:21:14
tidak bisa COD,5,2025-11-27 17:20:30
sangat bermanfaat sekali dan pesanan nya juga unik,5,2025-11-27 17:19:34
enak pokoknya pke shope vip ongkir di sopifood jdi lebi murce,5,2025-11-27 17:18:14
BLOCKZI! sengaja sistem nya kaya ngasi block yang mustahil bust dimenangin di akhir biasanya. jangan gitu dong shopee kalo gamau rugi jangan adain kek gitu,1,2025-11-27 17:17:13
"toko super lengkap, sangat memudahkan customer dalam berbelanja kebutuhan sehari2 tanpa harus keluar rumah.",5,2025-11-27 17:14:00
𝑚𝑎𝑛𝑡𝑎𝑝 𝑠𝑒𝑘𝑎𝑙𝑖,3,2025-11-27 17:13:37
sangat bagusss sekali,5,2025-11-27 17:13:10
Topmantop👍👍👍👍👍,5,2025-11-27 17:13:09
bagus,4,2025-11-27 17:13:08
ok,5,2025-11-27 17:13:03
ribet ganti pasword,3,2025-11-27 17:11:40
jasa pengiriman dr SPX yg dipilih shoope skrg ini sgt tidak memuaskan..kurirnya didaerah desa pinggir riau semena² dan sllu membatalkan sepihak terhadap kiriman yg telah dipesan.. 🙏🙏,3,2025-11-27 17:09:00
di shopee ongkirx murah banget,5,2025-11-27 17:08:34
pokoknya ok semuanya,5,2025-11-27 17:08:03
semoga saya bisa terus mendapatkan pemasukan tambahan dari afiliate saya..terimakasih,5,2025-11-27 17:07:49
ok,5,2025-11-27 17:07:19
ok banget untuk aplikasinya.,5,2025-11-27 17:05:57
puas dan mudah d jangkau,5,2025-11-27 17:05:55
fitur sih ud bagus cuma pegirimanya telat banget padahal udah dikurir tetep 2-3 hari baru dateng... itu itu kondisiin dong kurirnya yg ga kompeten tendang aja...,5,2025-11-27 17:04:57
"Mantap krn banyak discoun, bebas ongkirnya murah dan asli",5,2025-11-27 17:04:17
aplikasi ini bagussss,5,2025-11-27 17:03:53
senang berbelanja di sini,5,2025-11-27 17:02:55
Lumayan bisa untuk cari2 barang tanpa harus keluar panas²an,3,2025-11-27 17:02:29
pitur dan sarana sangat membantu aku prosesnya cepat dan apabila ada masalah bisa di selesaikan dengan baik terimakasih,5,2025-11-27 16:59:13
blnja di sopi lngkap dn praktis,5,2025-11-27 16:57:36
sangat puaas,5,2025-11-27 16:57:19
Saya senang dengan aplikasi ini,5,2025-11-27 16:56:55
"maaf shopee, pengiriman km sekarang jelek bgt. BANGET😭",1,2025-11-27 16:56:39
"sangat baik dan psanan smuany cpat,,,,",5,2025-11-27 16:53:50
"aplikasinya sudah bagus tapi yang kurangnya saat saya ingin mengganti PIN saya karena saya lupa, kan dikasih tau bakalan kekirim ke nomor saya tapi pas saya cek malah gak ada notif dan gak dikasih kode OTP nya saya sudah mengulanginnya tetapi tetap saja tidak bisa ada masalah apa dengan aplikasi ini apamah eror",3,2025-11-27 16:53:49
bagus baget,5,2025-11-27 16:53:32
mantab,5,2025-11-27 16:52:41
shopee..bnyak diskon ongkirnya makin suka sma shopee,5,2025-11-27 16:52:07
Bagus,5,2025-11-27 16:51:36
pelayanan Bagus,5,2025-11-27 16:50:51
mantap,5,2025-11-27 16:49:39
"preoses pengiriman lambat,sudah 2 paket ku lewat estimasi,,tolong di perbaiki proses pengirimanya,,",1,2025-11-27 16:49:28
"saya sebagai pelanggan shopee sangat sangat merasa kecewa karena fasilitas paylater dan spinjam saya di nonaktifkan! saya itu hanya telat bayar saja dan ada itikad baik buat melunasi, kecuali saya tidak bayar anda mau nonaktifkan silahkan. padahal saya pelanggan setia. anda bisa cek berapa banyak histori barang yang saya beli. 2x saya menghubungi pihak shopee tapi tidak ada solusi. mohon maaf bintang 1 itu menurut saya pantas untuk di review.",1,2025-11-27 16:48:14
ok,4,2025-11-27 16:47:52
"kaget tiba ² dapat email dari shopee akun aku bentar lagi di hapus panik dong ,aku cek di play store eh ternyata belom ku update",5,2025-11-27 16:47:51
memuaskan banget kita bisa berbelanja dirumah aja dan nungguin barang sampai,5,2025-11-27 16:47:45
"aneh bgt komen di live shopee ga ke baca, padahal cuma nanya produk, ga ada kata² sensitif",1,2025-11-27 16:47:35
semua urusan mudah dan lancar,5,2025-11-27 16:47:06
efisiens mantap,5,2025-11-27 16:46:31
sangat mudah dan sangat membantu,5,2025-11-27 16:46:27
bagus,5,2025-11-27 16:46:11
"shopee sekarang gak ada pilihan expedisi lain, adanya cuman expedisi spx. pengiriman spx sangatlah lambat, terlalu ber tele² . bukannya maju malah tambah mundur. saya sebagai pengguna bertahun-tahun sangat kecewa berat! 😡😡😡",1,2025-11-27 16:45:24
"skarang kebanyakan pengirimannya lambat trus, tidak sesuai dgn estimasi. beda dgn yang dulu",3,2025-11-27 16:45:22
"sejauh ini saya menggunakan aplikasi Shopee sangat membantu dan mempermudah saya dalam berbelanja segala kebutuhan sehari-hari👌🏻👍🏻 koreksi sedikit, terkadang barang yg ditawarkan di aplikasi sering kali tidak sesuai dengan gambar yg tertera di iklan toko tersebut",5,2025-11-27 16:45:16
pelayanan sangat baik dan cepat,5,2025-11-27 16:43:10
"Aplikasi yang bisa membantu keperluan arang banyak dan lebih muda,",5,2025-11-27 16:42:23
"Return barang agak ribet dan bertele-tele, apa lagi beli di Pelapak yang tidak mau barangnya di retur padahal kesalahan ada pada informasi yang kurang terhadap konsumen",1,2025-11-27 16:42:15
keren,5,2025-11-27 16:41:53
kiriman paket boleh dibuka,5,2025-11-27 16:40:46
barang sesuai diskripsi guru kopassus,4,2025-11-27 16:40:27
dulu saya percaya sama shopee pengiriman cepat tapi sekarang tambah bobrok pengiriman lama ga sekali dua kali ngalami tolong di benahi,5,2025-11-27 16:40:01
shopee sangat bermanfaat,5,2025-11-27 16:39:30
"menurutku shopee dulu terbaik, tetapi sekarang kelemahan terberat di JASA KIRIM SPX lama pengiriman seperti tidak niat saja untuk pengirimanya. percepat jasa kirim perbaiki sistem pengiriman.",2,2025-11-27 16:39:18
mantap,5,2025-11-27 16:38:28
platform yang sangat membantu,5,2025-11-27 16:38:26
good,5,2025-11-27 16:37:53
"masa udh 4 hari barang gak datang ke rumah, kurir nya gak jelas",1,2025-11-27 16:37:26
saya belanja sudah mau dikirim malah dibatalkan oleh shopee alasan penggunaan tidak wajar,1,2025-11-27 16:35:45
ok,5,2025-11-27 16:35:00
dengan pesanan sesuweh toko dan shopee dan kurirnya makasi,5,2025-11-27 16:34:29
good,5,2025-11-27 16:34:07
"shopee aku sudah prcya bgt sma kmu hmpir aku itu gk pernh unboxing2 brng krna sesuai td pket aku baru smpai aku gak liat bawahnya klo packingannya udah d tambal2 sma solasi aku buka ternyta pket nya tidak sesuai sama yg dkrim seller bukan salah seller nya tp pihak ekpedisinya yg sudah curang menukar isi paket saya dg bju yg jelek kecewa bner baru kali ini aku pengalaman trburuk , tolong perbaiki lagi sistem ekspedisimu jgn rekrut org2 yg curang sumph kecewa bgt aku sma kmu",1,2025-11-27 16:33:52
bagus,4,2025-11-27 16:33:46
sangt bagus. banyak diskon nya,4,2025-11-27 16:27:11
"belanja di shoope sangat2 bagus ,karna banyak voucher ongkir yg bisa kita pakai dan harga di toko Oren sangat jauh berbeda di aplikasi lain👍👍👍",5,2025-11-27 16:26:37
bagus aplikasinya,5,2025-11-27 16:25:29
ok,4,2025-11-27 16:24:11
"kenapa ya shoppe sekarang tuh kalo ada paket gak bisa di ambil besok, padahal kan gak semua orang free di hari tertentu. padahal dulu bisa, tapi sekarang sehari aja gak bisa nginap di kantor paketnya. kecewa banget sumpah😓",1,2025-11-27 16:24:04
gajelas mau verifikasi wajah gabisa karna dulu perna pake ktp ortu sekarang gabisa ganti data tiap mau masuk langsung verifikasi wajah,1,2025-11-27 16:24:03
mantul,5,2025-11-27 16:22:15
"spay later lelet naiknya,",1,2025-11-27 16:19:47
aplikasi yg tau kebutuhan,5,2025-11-27 16:18:22
mantap sesuai jadwal sampe di tujuan,5,2025-11-27 16:16:58
Ok,5,2025-11-27 16:16:32
pelayann shope cukup bagus semoga shopee semakin terdepan,5,2025-11-27 16:16:15
"bobrok shope lelet pengiriman udh gtu barang yg dtg busuk parah makin sini bkn baik malah bobrok...smua yg pke shope hapus aj percuma masukan dri org"" ga bakal di trima dan makin buruk..bobrok apa lg expedisi SPX lo pertahankn makin sini makin bobrok",1,2025-11-27 16:15:43
kecewa pembayarn gak pernah telat tiba tiba akun spaylater tidal bisa di gunakan.dengan alasan kebijakan internal,5,2025-11-27 16:14:19
bagussssssssssssw,5,2025-11-27 16:13:09
sangat berguna dan bermanfaat,5,2025-11-27 16:11:44
mantap aku suka buanget,5,2025-11-27 16:11:10
senangnya hatiku,5,2025-11-27 16:10:59
