review_text,rating,review_date,text_clean
"buat shopee biaya layanan hilangin aja diubah jadi pajak.tulis aja biaya pajak 2000,biasannya 1000 ini jadi 2000,aplikasi kok narikin biaya layanan,bayangin aja orang orang check out berkali kali ada biaya layanan dikaliin jadi berapa itu.belum lagi ongkir.nambah update harusnya berkembang aplikasinya bukannya narikin biaya layanan sekali check out🥲 edit:check out diatas 300k kena biaya layanan 4k,ketolong sama voucher toko yg ku beli.makin lama ada kenaikan biaya layanan atau pajak,agak kecewa",2,2025-11-27 19:23:04,buat shopee biaya layan hilangin aja ubah jadi pajaktulis aja biaya pajak bias jadi aplikasi kok narikin biaya layananbayangin aja orang orang check out kali kali biaya layan dikaliin jadi berapa itubelum ongkirnambah update harus kembang aplikasi bukan narikin biaya layan sekali check out editcheck out atas k kena biaya layan kketolong sama voucher toko ku belimakin lama naik biaya layan pajakagak kecewa
halo aku baru download semoga sesuai setiap barang yang aku pesan aku kasi bintang 5,5,2025-11-27 19:22:36,halo aku baru download moga sesuai barang aku pesan aku kasi bintang
sangat menyenangkan,5,2025-11-27 19:22:02,sangat senang
mantap Poko nya,5,2025-11-27 19:21:59,bagus poko nya
aplikasi terbaik buat belanja,5,2025-11-27 19:20:31,aplikasi baik buat belanja
mantul,5,2025-11-27 19:20:28,mantul
bagus,5,2025-11-27 19:20:09,bagus
sangat bagus,5,2025-11-27 19:19:57,sangat bagus
aplikasi belanja online yang banyak diskonya mantapp poll 🤍,5,2025-11-27 19:19:28,aplikasi belanja online banyak disko mantapp poll
shopee emang joss,5,2025-11-27 19:19:27,shopee emang joss
pokoknya cocok3 bangettt.!!!,5,2025-11-27 19:19:12,pokok cocok banget
top,5,2025-11-27 19:18:31,top
sangat. bagus dan nyaman,5,2025-11-27 19:17:02,sangat bagus nyaman
lebih baik daripada yg lain,5,2025-11-27 19:16:58,lebih baik
Mantap,5,2025-11-27 19:16:20,bagus
Mantap,5,2025-11-27 19:15:32,bagus
bagus deh,5,2025-11-27 19:14:56,bagus deh
"aplikasi nya bagus,perlu ditindaklanjuti seller yang tidak amanah.",5,2025-11-27 19:14:56,aplikasi nya bagusperlu ditindaklanjuti seller tidak amanah
bagus dan cepet sampai serta barang yg dikirim sesuai,5,2025-11-27 19:12:42,bagus cepat barang kirim sesuai
Belanja asik,5,2025-11-27 19:12:22,belanja asik
"kurir sering ngaku"" sudah sampai tujuan dan membuat pembeli seakan membatalkan pesanan padahal kurir belum ada datang dan menelpon dan menggunakan foto di lain tempat hanya memfoto lantai seakan sudah sampai lokasi",3,2025-11-27 19:11:10,kurir sering ngaku tuju buat beli akan batal pesan padahal kurir belum datang telpon guna foto tempat foto lantai akan lokasi
bagusssss dah lama make shopee promonya banyak,5,2025-11-27 19:11:00,bagus dah lama make shopee promonya banyak
top one top,5,2025-11-27 19:10:37,top one top
produk nyq lengkap,5,2025-11-27 19:10:31,produk nyq lengkap
barang yang sesuai,5,2025-11-27 19:09:37,barang sesuai
mantap,5,2025-11-27 19:09:30,bagus
good,5,2025-11-27 19:09:16,bagus
belanja dishopee harga terjangkau hemat dan murah ongkirnya,5,2025-11-27 19:08:26,belanja dishopee harga jangkau hemat murah ongkirnya
sangat membantu terimakasih,5,2025-11-27 19:08:04,sangat bantu terimakasih
Bagusss bangett aplikasi shopee inii makanya akuu kasih bintang limaa,5,2025-11-27 19:07:30,bagus bangett aplikasi shopee ini makanya akuu kasih bintang limaa
terbaik,5,2025-11-27 19:07:21,baik
cukup membantu utk belanja online,5,2025-11-27 19:07:00,cukup bantu utk belanja online
suka banget,5,2025-11-27 19:06:42,suka banget
seru,5,2025-11-27 19:06:20,seru
good bangett,5,2025-11-27 19:06:10,bagus bangett
membantu sekali,5,2025-11-27 19:05:14,bantu sekali
Shopee Indonesia ok,5,2025-11-27 19:05:02,shopee indonesia oke
Shopee memang oke... yang lain nyusul ya.....,5,2025-11-27 19:04:56,shopee memang oke nyusul
"Terima kasih gratis ongkir, terima kasih semua, terima kasih shopee",5,2025-11-27 19:02:47,terima kasih gratis ongkir terima kasih semua terima kasih shopee
"Berbelanja di Shopee memang selalu lancar, aman dan selalu tepat waktu pengirimannya dan tingkatkan terus Shopee.",5,2025-11-27 19:02:36,belanja shopee memang selalu lancar aman selalu tepat waktu kirim tingkat terus shopee
Shopee indonesia sangat nyaman dan terpercaya bisa melindungi pembeli dan penjualnya. terimakasih Shopee indonesia bagi saya nomor 1 ( satu),5,2025-11-27 19:02:26,shopee indonesia sangat nyaman percaya lindung beli jual terimakasih shopee indonesia nomor satu
memudahkan mencari barang yg dibutuhkan,5,2025-11-27 19:02:10,mudah cari barang butuh
barang yang di cari komplit dan cepat terkirim,5,2025-11-27 18:59:55,barang cari komplit cepat kirim
pokoknya shopee MANTAP...,5,2025-11-27 18:59:39,pokok shopee bagus
sangat membantu 🥰,5,2025-11-27 18:59:26,sangat bantu suka
mantap,5,2025-11-27 18:59:21,bagus
bagus,5,2025-11-27 18:58:56,bagus
"pesanan saya tidak sesuai diskripsi,dikirim yg harganya lebih murah. saya mau laporkan tokonya tetapi tidak bisa! minta pengembalian dana tidak bisa!",1,2025-11-27 18:58:49,pesan tidak sesuai diskripsidikirim harga lebih murah mau lapor toko tidak minta kembali dana tidak
"cod gagal dikirim dan dibatalkan sepihak,sudah lebih 5 barang di pesan gagal dan batal semua. yang bukan cod malah sampai. saya sangat kecewa belanja di sini.",1,2025-11-27 18:58:35,cod gagal kirim batal sepihaksudah lebih barang pesan gagal batal semua bukan cod malah sangat kecewa belanja sini
cukup bintang yg berbicara mengenai shopee driver semakin hari semakin parah,1,2025-11-27 18:57:50,cukup bintang bicara kena shopee driver makin hari makin parah
sangat baik pelayanan cepat,5,2025-11-27 18:57:24,sangat baik layan cepat
bagus,5,2025-11-27 18:56:29,bagus
"Di shopee banyak peminatnya...dkrenakan live sehingga kita tdk takut kecewa pesanan kita beda,,",5,2025-11-27 18:56:18,shopee banyak peminatnyadkrenakan live tdk takut kecewa pesan beda
aku shopping,5,2025-11-27 18:56:00,aku shopping
bagus,5,2025-11-27 18:55:45,bagus
Memudahkan jual beli,5,2025-11-27 18:54:36,mudah jual beli
top,5,2025-11-27 18:53:54,top
Bagus,5,2025-11-27 18:53:05,bagus
mantap banyak diskon,5,2025-11-27 18:52:28,bagus banyak diskon
bagus,5,2025-11-27 18:51:41,bagus
dijamin lebih murah dari toko e-commerce lainnya...dan pasti nya selalu gratis ongkir,5,2025-11-27 18:49:42,jamin lebih murah toko ecommerce lainnyadan nya selalu gratis ongkir
baik,5,2025-11-27 18:49:39,baik
"sangat membantu, terpercaya",5,2025-11-27 18:48:51,sangat bantu percaya
shope adalah belanja online yang penjualnya ramah dan baik sesuai produknya🥰🥰🥰🥰🥰🥰🥰 Des,5,2025-11-27 18:48:48,shope belanja online jual ramah baik sesuai produk suka suka suka suka suka suka suka des
maju terus shopie,5,2025-11-27 18:48:41,maju terus shopie
ok,5,2025-11-27 18:46:23,oke
sangat membantu,5,2025-11-27 18:46:23,sangat bantu
pengiriman cepat .mudah.dan nyaman tànks shopee.,5,2025-11-27 18:45:44,kirim cepat mudahdan nyaman tnks shopee
"udah 3 kali, padahal kurir udah di tugasim buat nganter pesanan,tiba² balik transit lagi",2,2025-11-27 18:45:37,kali padahal kurir tugasim buat nganter pesanantiba balik transit
Bagus,5,2025-11-27 18:45:35,bagus
bagus,5,2025-11-27 18:45:35,bagus
Memudahkan aku berbelanja untuk usaha,5,2025-11-27 18:45:20,mudah aku belanja usaha
mntap,5,2025-11-27 18:44:34,mntap
sangat membantu,5,2025-11-27 18:43:35,sangat bantu
saya senang belanja di shopee,5,2025-11-27 18:43:34,senang belanja shopee
mantap,5,2025-11-27 18:41:38,bagus
"salam shopee termksh telah membuat blanja ku semakin mudah,",4,2025-11-27 18:41:37,salam shopee termksh buat blanja ku makin mudah
"mudah,murah,ramah,b banyak pilihan",5,2025-11-27 18:41:32,mudahmurahramahb banyak pilih
mantap,5,2025-11-27 18:41:06,bagus
"utk shopee food harusnya ada opsi masukkan pin dlu sblm lanjut ke konfirmasi pesanan otomatis. karena kalau kasusnya kepencet pesan kan konsumen jadi rugi, padahal masih mau lihat2 dulu. kesel bgt g ikhlas meskipun buat makan sendiri",3,2025-11-27 18:38:11,utk shopee food harus opsi masuk pin dlu sblm lanjut konfirmasi pesan otomatis kalau kasus pencet pesan kan konsumen jadi rugi padahal mau lihat dulu kesel banget g ikhlas meski buat makan sendiri
bagus,5,2025-11-27 18:38:00,bagus
bagus 👍👍👍👍👍,5,2025-11-27 18:37:41,bagus bagus bagus bagus bagus bagus
cepat pengirimannya bagus banget,5,2025-11-27 18:37:20,cepat kirim bagus banget
Puas belanja di shopee,5,2025-11-27 18:36:57,puas belanja shopee
belanja jadi lebih mudah,5,2025-11-27 18:36:55,belanja jadi lebih mudah
suka sekali sama aplikasi ini🥰,5,2025-11-27 18:35:48,suka sekali sama aplikasi suka
mantap,5,2025-11-27 18:35:43,bagus
kenapa pas buka shope sok langsung ke shope video? shope apa bisa di setingg. jujur ganggu lama lamaa.,4,2025-11-27 18:33:18,pas buka shope sok langsung shope video shope apa setingg jujur ganggu lama lamaa
"IKLASNYA MAKSA BGT GANGGU, BISA GASI UDAH BERLEBIHAN? GANGGU BGT SAYA UDAH MAUK BGT MAKSA GASUKA BGT ADA BATASAN NYA NAPA SI DIPIKIR AKU GAADA KESABARAN?",1,2025-11-27 18:32:07,iklasnya maksa banget ganggu gas lebih ganggu banget mauk banget maksa gasuka banget batas nya napa si pikir aku gaada sabar
"tidak sesuai iklan di tv""Shopee lebih cepat"". iya cepat klik ""beli sekarang"",datangnya gak cepat. saran dari saya,EKSPEDISI JNT dijadikan yg utama karena konsisten dlm pengiriman paket(CEPAT). Setelah paket saya tiba,saya mau UNINSTAL saja aplikasi SHOPEE. Nunggu perubahan yg lebik baik,terutama EKSPEDISINYA. Terimakasih🙏",1,2025-11-27 18:31:44,tidak sesuai iklan tvshopee lebih cepat iya cepat klik beli sekarangdatangnya tidak cepat saran sayaekspedisi jnt jadi utama konsisten dlm kirim paketcepat paket tibasaya mau uninstal aplikasi shopee nunggu ubah lebik baikterutama ekspedisi terimakasih terima kasih
mantap,5,2025-11-27 18:31:37,bagus
Selalu menyenangkan blj di Shopee🤗,5,2025-11-27 18:30:51,selalu senang blj shopee
belanja LBH mudah,5,2025-11-27 18:30:35,belanja lbh mudah
mantaf,5,2025-11-27 18:30:15,mantaf
mantab⁰ belanja disini,5,2025-11-27 18:29:06,mantab belanja sini
"aplikasi sangat membantu, tetapi tolong tambahkan untuk pembayaran melalui dana🙏🏻🙏🏻",5,2025-11-27 18:28:44,aplikasi sangat bantu tambah bayar lalu dana terima kasih terima kasih
slalu puas dan sesuai ekspetasi..di pertahankan amanah nya ya para kakak reseler 🥰🥰,5,2025-11-27 18:28:36,slalu puas sesuai ekspetasidi tahan amanah nya kakak reseler suka suka
"lebih nyaman aja pakai shopee, soalnya cover untuk pembelinya maksimal, ada jaminan uang kembali kan lewat pengembalian dana",5,2025-11-27 18:28:05,lebih nyaman aja pakai shopee soal cover bel maksimal jamin uang kan lewat kembali dana
👍,5,2025-11-27 18:27:50,bagus
udah 3hari pengiriman stak di tempat yg sama mending bubarin aja shopee udah gak berguna skrng,1,2025-11-27 18:27:44,hari kirim stak tempat sama mending bubarin aja shopee tidak guna skrng
"barang sudah saya terima dgn baik tapi blm di coba,muda2 bagus dan cocok buat motor saya",5,2025-11-27 18:25:56,barang terima baik tapi belum cobamuda bagus cocok buat motor
nyaman gak pake ribet,5,2025-11-27 18:25:46,nyaman tidak pake ribet
"Sangat suka dengan shopee, semoga semua toko yang ada di sini amanah, aminn",5,2025-11-27 18:25:39,sangat suka shopee moga semua toko sini amanah aminn
Mantap 👍👍👍👍👍👍....👍.........................👍👍....................................,5,2025-11-27 18:24:42,bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus
Not bad but not good,5,2025-11-27 18:24:33,not bad but not bagus
"harga agak miring, kurirnya juga ramah,sopan 🤗walau kadang penjualnya kurang memuaskan barang nya...tapi q suka shopee😘",5,2025-11-27 18:24:05,harga miring kurir ramahsopan kadang jual kurang muas barang nyatapi q suka shopee suka
baik,5,2025-11-27 18:23:57,baik
terbaik shopee ❤️,5,2025-11-27 18:23:47,baik shopee suka
senang sekali berbelanja di shope sukses selalu shopee,5,2025-11-27 18:23:29,senang sekali belanja shope sukses selalu shopee
sangat membantu saat mencari belanja,5,2025-11-27 18:23:04,sangat bantu cari belanja
Garansi pasti dijamin telat sampai nya. Laporan juga nggak ditanggapi paket belum sampai ke konsumen diberikan keterangan laporan selesai ditangani.,1,2025-11-27 18:22:53,garansi jamin telat nya lapor tidak tanggap paket belum konsumen beri terang lapor selesai tangan
good,5,2025-11-27 18:22:26,bagus
"banyak promonya, ya meskipun harus sepenuh tenaga mengumpulkan koin",5,2025-11-27 18:20:01,banyak promonya meski sepenuh tenaga kumpul koin
"bagus aplikasi Shopee, bnyak gratis ongkir jugaa.. tp sayang nya segala ada biaya penanganan,, buat sy itu mengganggu..",5,2025-11-27 18:19:24,bagus aplikasi shopee bnyak gratis ongkir jugaa tapi sayang nya segala biaya tangan buat ganggu
saya sangat puas,5,2025-11-27 18:18:09,sangat puas
sangat membantu,5,2025-11-27 18:18:04,sangat bantu
sangat puas sekali dengan apk ini,5,2025-11-27 18:17:46,sangat puas sekali apk
bagus,5,2025-11-27 18:16:55,bagus
sangat memuaskan belanja di shopee,5,2025-11-27 18:16:34,sangat muas belanja shopee
selalu terbantu oleh shopiee,5,2025-11-27 18:15:54,selalu bantu shopiee
cepat,5,2025-11-27 18:15:22,cepat
pokoknya sukakkk..belanja bisa lebih mudah,5,2025-11-27 18:15:03,pokok sukakbelanja lebih mudah
apk paling recomen dah,5,2025-11-27 18:14:35,apk paling recomen dah
pengiriman cepat dan produk terpercaya_,5,2025-11-27 18:14:23,kirim cepat produk percaya
mantassp,4,2025-11-27 18:14:22,mantassp
belanja dengan mudah dan terjangkau hanya di shopee 😍😍😍,5,2025-11-27 18:14:08,belanja mudah jangkau shopee suka suka suka
aplikasi shoope sngat membantu sy dlm berbelanja dirumh pelayanan kurirnya bagus,5,2025-11-27 18:13:33,aplikasi shoope sngat bantu dlm belanja dirumh layan kurir bagus
bagus dan simple,5,2025-11-27 18:09:06,bagus simple
Terimakasih shopee sudha tidak bisa berkata apa-apa lagi buat aplikasi satu ini 😘😘😘😘😘,5,2025-11-27 18:08:32,terimakasih shopee sudha tidak kata apaapa buat aplikasi satu suka suka suka suka suka
Feeling good,5,2025-11-27 18:08:24,feeling bagus
mantab..,5,2025-11-27 18:08:14,mantab
sangat bagus,5,2025-11-27 18:07:18,sangat bagus
mantap sekali,5,2025-11-27 18:06:05,bagus sekali
"Sudah ikut extra ongkir , Potongan admin besar tp perlakuan barang gagal kirim dinyatakan sepihak hilang padahal barang besar logika manusia tidak akan mungkin hilang. yg lebih mengecewakan pergantian klaim tidak sesuai dengan nominal brang yg hilang... tidak profesional amanah menjaga barang customer",1,2025-11-27 18:05:56,ikut extra ongkir potong admin besar tapi laku barang gagal kirim nyata pihak hilang padahal barang besar logika manusia tidak mungkin hilang lebih kecewa ganti klaim tidak sesuai nominal brang hilang tidak profesional amanah jaga barang customer
👍👍,5,2025-11-27 18:05:53,bagus bagus
aplikasi yang memuaskan untuk belanja,5,2025-11-27 18:05:49,aplikasi muas belanja
hare Krsna mantaf,5,2025-11-27 18:05:19,hare krsna mantaf
ok,5,2025-11-27 18:04:45,oke
shopee keren abis,5,2025-11-27 18:04:40,shopee keren abis
jos mantap pelayanan nya,5,2025-11-27 18:04:34,jos bagus layan nya
baru pertama pakai lumayan tp gak ada cod y,5,2025-11-27 18:03:10,baru pertama pakai lumayan tapi tidak cod y
sukses selalu,5,2025-11-27 18:03:01,sukses selalu
bagus,5,2025-11-27 18:01:05,bagus
"pokonya belanja di shoppi mah ga pernah kecewa ,selalu dpet vocer dan grtis ongkir",5,2025-11-27 18:00:34,poko belanja shoppi mah tidak pernah kecewa selalu dpet vocer grtis ongkir
ga jelas,1,2025-11-27 18:00:05,tidak jelas
Mantap pelayanan nya,5,2025-11-27 17:59:56,bagus layan nya
ok,4,2025-11-27 17:58:56,oke
aplikasi nya bagus terus harganya terjangkau dan juga pengiriman nya cepet tapi masalahnya tuh kalo mau checkout itu gak bisa cod (bayar ditempat) karna banyak pesanan yang dibatalin sama shopee ini aduh,4,2025-11-27 17:57:44,aplikasi nya bagus terus harga jangkau kirim nya cepat tapi masalah tuh kalau mau checkout tidak cod bayar tempat karna banyak pesan dibatalin sama shopee aduh
mantap,5,2025-11-27 17:57:32,bagus
suka,5,2025-11-27 17:57:28,suka
ger cep,5,2025-11-27 17:57:22,ger cep
"Sebenernya aku ngga ada masalah sama sekali dengan penggunaan aplikasinya, aplikasinya mudah digunakan. Tetapi, aplikasi ini kalau sedang ngiklan mengganggu sekali, selalu saja membuka aplikasi dengan sendirinya, ngga cuma sekali dalam satu waktu, tapi berkali-kali dalam satu waktu. Tolong beriklanlah dengan normal, jangan melakukan adware, jangan memaksa, tidak etis kepada pengguna. Terima kasih.",5,2025-11-27 17:56:53,sebenernya aku ngga masalah sama sekali guna aplikasi aplikasi mudah guna aplikasi kalau sedang ngiklan ganggu sekali selalu buka aplikasi sendiri ngga cuma sekali satu waktu tapi berkalikali satu waktu iklan normal jangan laku adware jangan paksa tidak etis guna terima kasih
mudah cari barang 🤌,5,2025-11-27 17:56:48,mudah cari barang
mantaap oelayanannya,5,2025-11-27 17:53:44,mantaap oelayanannya
sangat puas dengan shopee karna sering mendapat gratis ongkir dan produk yang di jual sangat bagus dan berkualitas,5,2025-11-27 17:53:00,sangat puas shopee karna sering dapat gratis ongkir produk jual sangat bagus kualitas
tepat waktu,5,2025-11-27 17:52:19,tepat waktu
sangat puas belanja d shopee pertahankan dengan respon yang selalu cepat👍,5,2025-11-27 17:51:06,sangat puas belanja d shopee tahan respon selalu cepat bagus
"kurang nyaman masih banyak tipu2 sumpah, kita komen dan dijjawsb dgn jawaban angin surga",2,2025-11-27 17:51:01,kurang nyaman banyak tipu sumpah komen dijjawsb jawab angin surga
ok,5,2025-11-27 17:50:10,oke
puas gaes,5,2025-11-27 17:49:04,puas gaes
Toko online yang bagus di indonesia,4,2025-11-27 17:48:33,toko online bagus indonesia
"kak kenapa sekarang jadi lama banget pesan paketnya, udah hampir 2 minggu pesanan saya belum dikirim",3,2025-11-27 17:48:23,kak sekarang jadi lama banget pesan paket hampir minggu pesan belum kirim
semoga tidak seperti pasar sebelah yg hijau mudah di susupi akun fishing,5,2025-11-27 17:48:16,moga tidak pasar belah hijau mudah susup akun fishing
ok,5,2025-11-27 17:48:12,oke
amanah bagus sesuai,5,2025-11-27 17:47:05,amanah bagus sesuai
komisi gak work,1,2025-11-27 17:46:07,komisi tidak work
Aplikasi yang memudahkan segala kebutuhan rumah tangga dan keluarga 🫰,5,2025-11-27 17:44:47,aplikasi mudah segala butuh rumah tangga keluarga suka
no coment seru sihh pokoknya bisa belanja,5,2025-11-27 17:43:14,no coment seru sihh pokok belanja
memudahkan membeli apapun ada di app shopee,5,2025-11-27 17:41:19,mudah beli apa app shopee
Selama ini tdk ada masalah bagi sy,5,2025-11-27 17:41:14,lama tdk masalah
pesanan ok,5,2025-11-27 17:41:01,pesan oke
amanah,5,2025-11-27 17:40:38,amanah
sangat membantu untuk kebutuhan yang saya perlukan. terimakasih Shopee,4,2025-11-27 17:40:04,sangat bantu butuh perlu terimakasih shopee
sangat memuaskan,5,2025-11-27 17:39:26,sangat muas
"aku blm ada pengalaman dikit pun tentang ,Shopee indonesia",5,2025-11-27 17:39:12,aku belum alam dikit shopee indonesia
sangat bagus,5,2025-11-27 17:38:36,sangat bagus
saya sering blaja di shopee brng real,5,2025-11-27 17:38:13,sering blaja shopee brng real
sangat senang berbelanja di sini,5,2025-11-27 17:37:31,sangat senang belanja sini
sangat bangus,5,2025-11-27 17:37:19,sangat bangus
shopee memangTOP👍👍,5,2025-11-27 17:36:58,shopee memangtop bagus bagus
👍,5,2025-11-27 17:36:56,bagus
mantap,5,2025-11-27 17:36:47,bagus
"shoope nya ga bisa COD CEK DULU , gimana cara nya agar bisa COD",2,2025-11-27 17:36:23,shoope nya tidak cod cek dulu gimana cara nya cod
sunggu nyaman,5,2025-11-27 17:36:02,sunggu nyaman
"selama saya menggunakan Shopee untuk pemesanan barang barang yang saya perlukan ,selalu memuaskan baik produknya maupun pengirimannya.",5,2025-11-27 17:34:51,lama guna shopee mesan barang barang perlu selalu muas baik produk maupun kirim
Banyak voucher dan gratis ongkir... Puas belanja di shopee...,5,2025-11-27 17:34:48,banyak voucher gratis ongkir puas belanja shopee
mantap,5,2025-11-27 17:34:45,bagus
"Mantap, 👍 terpercaya.",5,2025-11-27 17:33:56,bagus bagus percaya
sangat bagus,5,2025-11-27 17:33:23,sangat bagus
"shopee parah sekarang. merugikan pembeli. saya beli barang tidak bisa di gunakan, mau di retur tidak bisa. shopee membuat keputusan sendiri, dan buat pesanan slesai. tanpa saya setujui. sehingga barang tdk bs digunakan dan buang2 uang.",1,2025-11-27 17:33:14,shopee parah sekarang rugi beli beli barang tidak guna mau retur tidak shopee buat putus sendiri buat pesan slesai tuju barang tdk guna buang uang
"1. costumer shopee food seharusnya ada opsi cancel 5 menit, JGN 5 DETIK BOSSS, namanya manusia PASTI ada salah nya, lagian 5 menit jg makanan masi di siapin, 2. untuk diskon / gratis ongkir seharusnya otomatis terinput waktu CO seperti gojek, jgn nunggu di klik dulu, jadi tidak merugikan customer yg lupa klik",2,2025-11-27 17:33:09,costumer shopee food opsi cancel menit jgn detik bos nama manusia salah nya lagi menit makan mas siapin diskon gratis ongkir otomatis terinput waktu co gojek jgn nunggu klik dulu jadi tidak rugi customer lupa klik
"suka banget ama ini shopee, karena aku suka belanja 🫶",5,2025-11-27 17:32:43,suka banget ama shopee aku suka belanja
"Tarik shopee koin vidio jgn 5000 dong min, 500 aja. Ngumpulin 200 koin video aja lama bgt",5,2025-11-27 17:32:35,tarik shopee koin vidio jgn dong min aja ngumpulin koin video aja lama banget
ok,5,2025-11-27 17:32:33,oke
sangat puas,4,2025-11-27 17:31:46,sangat puas
sangat puas,5,2025-11-27 17:31:35,sangat puas
"lebih cepat,terpercaya",5,2025-11-27 17:31:29,lebih cepatterpercaya
joss berkembang lebih bagus lagi,5,2025-11-27 17:30:11,joss kembang lebih bagus
Dengan adanya shopee food beli makan jadi enak,5,2025-11-27 17:29:04,ada shopee food beli makan jadi enak
berbelanja di sopy menyenangkan paket cepat sampai pengngiriman cepet dan kurir rama dan baik³,5,2025-11-27 17:29:01,belanja sopy senang paket cepat pengngiriman cepat kurir rama baik
suka sekali,5,2025-11-27 17:27:56,suka sekali
Nice application & good job. Continue to improve the quality of the application. 👌👍,5,2025-11-27 17:27:48,nice application bagus job continue to improve the quality of the application oke bagus
bagus..sangat baik sekali,5,2025-11-27 17:26:54,bagussangat baik sekali
bagus,5,2025-11-27 17:26:11,bagus
"kenapa ya akhir"" ini pengiriman Shopee makin melambat dari tanggal yg dijadwalkan?",2,2025-11-27 17:25:00,akhir kirim shopee makin lambat tanggal jadwal
kebanyakan penipu,1,2025-11-27 17:24:18,banyak tipu
"produknya sesuai, pokoknya mantaf",5,2025-11-27 17:22:11,produk sesuai pokok mantaf
bagus,5,2025-11-27 17:22:04,bagus
good,5,2025-11-27 17:21:29,bagus
minta tolong dong.. ink ga sekali dua kali. kita order shopee food. knp 1 driver di kasih 2 oraderan bersamaan. di saat barang saya sudah siap. malah belum terkirim di karenakan driver ambil orderan selanjutnya. kayak gini kalau di terusin itu ngerugikan pelanggan. shoppe dapat uang dari pelanggan. jadi jangan buat pelanggan kecewa dong. nah shoppe ga mikirin ya misal ada pesenan yang gk bisa nunggu kayak tart.. kan kalau sampai barang rusak yang kasian juga resto.. astaga.. kecewa sekali ini.,2,2025-11-27 17:21:23,minta dong ink tidak sekali kali order shopee food knp driver kasih oraderan sama barang siap malah belum kirim karena driver ambil order lanjut kayak gin kalau terusin ngerugikan langgan shoppe uang langgan jadi jangan buat langgan kecewa dong nah shoppe tidak mikirin misal sen tidak nunggu kayak tart kan kalau barang rusak kasi resto astaga kecewa sekali
